"company","total_Layoffs"
"Zak",100.0
"Zipcar",100.0
"The Predictive Index",99.0
"Willow",99.0
"Colossus",97.0
"Pavilion Data",96.0
"54gene",95.0
"BlackLine",95.0
"Culture Trip",95.0
"Edgio",95.0
"WHOOP",95.0
"GoFundMe",94.0
"Newfront Insurance",94.0
"PACT Pharma",94.0
"PetLove",94.0
"Back Market",93.0
"BitTorrent",92.0
"Scoop",92.0
"Skillz",91.0
"Wheel",91.0
"ApplyBoard",90.0
"Calm",90.0
"Convoy",90.0
"Domo",90.0
"Freshworks",90.0
"GetYourGuide",90.0
"GumGum",90.0
"Industrious",90.0
"Kueski",90.0
"Matterport",90.0
"Mural",90.0
"Picsart",90.0
"ScaleFactor",90.0
"Science 37",90.0
"Seegrid",90.0
"Sunday",90.0
"The Zebra",90.0
"Workato",90.0
"Aqua Security",89.0
"Protocol Labs",89.0
"Unison",89.0
"BloomTech",88.0
"Brighte",88.0
"Buy.com / Rakuten",87.0
"Foodsby",87.0
"Ibotta",87.0
"Outside",87.0
"Quandoo",87.0
"Zenefits",87.0
"Lever",86.0
"Mejuri",86.0
"Crunchyroll",85.0
"Funding Circle",85.0
"Niantic",85.0
"Primer",85.0
"Rev.com",85.0
"Smartsheet",85.0
"Zego",85.0
"Ejento",84.0
"Faire",84.0
"Lambda School",84.0
"Pear Therapeutics",84.0
"Recharge",84.0
"Sendy",84.0
"Fluke",83.0
"Openpay",83.0
"Career Karma",82.0
"Remedy",82.0
"Care.com",81.0
"AlayaCare",80.0
"App Annie",80.0
"Aqgromalin",80.0
"Bittrex",80.0
"Buenbit",80.0
"CoinDCX",80.0
"FabHotels",80.0
"Gong",80.0
"Hologram",80.0
"Indigo",80.0
"LeafLink",80.0
"Lightricks",80.0
"Lime",80.0
"Nylas",80.0
"Otonomo",80.0
"Pagarbook",80.0
"Quartz",80.0
"Qumulo",80.0
"RingCentral",80.0
"Sandbox VR",80.0
"Sisense",80.0
"Sketch",80.0
"Unbabel",80.0
"Verbit",80.0
"VinFast US",80.0
"Ada",78.0
"Built In",78.0
"Casper",78.0
"Mogo",78.0
"Pulse Secure",78.0
"Rangle",78.0
"Spin",78.0
"BounceX",77.0
"Astronomer",76.0
"Lokalise",76.0
"Uniphore",76.0
"99",75.0
"Arrive Logistics",75.0
"BitMEX",75.0
"DISCO",75.0
"Gramophone",75.0
"Kaltura",75.0
"Metigy",75.0
"O'Reilly Media",75.0
"Palantir",75.0
"Sami",75.0
"ThirdLove",75.0
"Thriver",75.0
"Varo",75.0
"Zeitgold",75.0
"Gokada",74.0
"Outschool",74.0
"Heycar",73.0
"Juni",72.0
"Quanergy Systems",72.0
"Properly",71.0
"1stdibs",70.0
"Acast",70.0
"Aura",70.0
"Banxa",70.0
"BitTitan",70.0
"Boozt",70.0
"Bungalow",70.0
"Carwow",70.0
"Goodfood",70.0
"Hibob",70.0
"Hippo Insurance",70.0
"Involves",70.0
"KoinWorks",70.0
"Kyruus",70.0
"Moss",70.0
"Oscar Health",70.0
"PickYourTrail",70.0
"Quantcast",70.0
"StudySmarter",70.0
"Virtudent",70.0
"Yotpo",70.0
"HashiCorp",69.0
"The Iconic",69.0
"Ajaib",67.0
"Redesign Health",67.0
"Balto",65.0
"BeyondMinds",65.0
"Chope",65.0
"Clari",65.0
"Curve",65.0
"Funding Societies",65.0
"InfluxData",65.0
"Mixpanel",65.0
"Playdots",65.0
"Repertoire Immune Medicines",65.0
"uShip",65.0
"Virta Health",65.0
"Checkr",64.0
"Mapbox",64.0
"Sigfox",64.0
"Project44",63.0
"SynapseFI",63.0
"UserTesting",63.0
"Warby Parker",63.0
"CS Disco",62.0
"divvyDOSE",62.0
"Element AI",62.0
"Numbrs",62.0
"OrCam",62.0
"Bossa Nova",61.0
"Afterverse",60.0
"Away",60.0
"BlueStacks",60.0
"C6 Bank",60.0
"CleverTap",60.0
"ClickUp",60.0
"Daily Harvest",60.0
"Deputy",60.0
"Elementor",60.0
"Fiverr",60.0
"Flywire",60.0
"Forto",60.0
"FourKites",60.0
"Grin",60.0
"Harappa",60.0
"Lunchbox",60.0
"MadeiraMadeira",60.0
"Me Poupe",60.0
"Melio",60.0
"Nate",60.0
"Optimizely",60.0
"Parallel Wireless",60.0
"Parler",60.0
"Protocol",60.0
"Quicko",60.0
"Raken",60.0
"Revolut",60.0
"Sanar",60.0
"Shippo",60.0
"TechTarget",60.0
"Tilting Point",60.0
"VerticalScope",60.0
"WazirX",60.0
"Workmotion",60.0
"Bonsai",59.0
"Drift",59.0
"Exodus",59.0
"Medallia",59.0
"Pitch",59.0
"Rasa",59.0
"Stord",59.0
"Canoo",58.0
"Chili Piper",58.0
"Envoy",58.0
"Hash",58.0
"Divergent 3D",57.0
"Introhive",57.0
"Loom",57.0
"Rhino",57.0
"Rubrik",57.0
"Splyt",57.0
"The Wing",56.0
"Vesta",56.0
"Wave Sports and Entertainment",56.0
"Definitive Healthcare",55.0
"GoBolt",55.0
"Pomelo Fashion",55.0
"Tufin",55.0
"Udacity",55.0
"Urban Sports Club",55.0
"When I Work",55.0
"Actifio",54.0
"Collective Health",54.0
"Marketforce",54.0
"Tempo Automation",54.0
"The Mom Project",54.0
"MediaMath",53.0
"Ualá",53.0
"Bamboo Health",52.0
"Lemonade",52.0
"OutboundEngine",52.0
"Showpad",52.0
"Cardlytics",51.0
"Highsnobiety",51.0
"Mercos",51.0
"RealSelf",51.0
"Turnitin",51.0
"Acorns",50.0
"Ada Health",50.0
"Ambev Tech",50.0
"American Robotics",50.0
"Breathe",50.0
"Dazn",50.0
"Dutchie",50.0
"Earnin",50.0
"Eucalyptus",50.0
"Group Nine Media",50.0
"Headspace",50.0
"Iflix",50.0
"Imperfect Foods",50.0
"Impossible Foods",50.0
"Inmobi",50.0
"iPrice Group",50.0
"Iron Ox",50.0
"Jimdo",50.0
"JOKR",50.0
"Kontist",50.0
"Lastline",50.0
"Linktree",50.0
"LiveTiles",50.0
"Lyst",50.0
"Minute Media",50.0
"Pocket Aces",50.0
"Puppet",50.0
"Q4",50.0
"Remote Year",50.0
"Replicated",50.0
"Rubicon Project",50.0
"Segment",50.0
"SkySlope",50.0
"Tiendanube",50.0
"Vezeeta",50.0
"Wahoo Fitness",50.0
"Warren",50.0
"Wonderschool",50.0
"Zoopla",50.0
"Equitybee",49.0
"Button",48.0
"Netlify",48.0
"Shogun",48.0
"Alto Pharmacy",47.0
"Bench",47.0
"Ecobee",47.0
"HuffPo",47.0
"Karat",47.0
"Polly",47.0
"Trybe",47.0
"Unbounce",47.0
"Akili Labs",46.0
"Payfactors",46.0
"Riot Games",46.0
"The Athletic",46.0
"Viant",46.0
"Wonolo",46.0
"Acko",45.0
"Freetrade",45.0
"Hubba",45.0
"Intapp",45.0
"Laybuy",45.0
"Mainstreet",45.0
"Namogoo",45.0
"Nuri",45.0
"Peek",45.0
"Pendo",45.0
"Teachmint",45.0
"Viber",45.0
"VSCO",45.0
"Workstream",45.0
"Zumper",45.0
"Ahead",44.0
"Chainalysis",44.0
"Luxury Presence",44.0
"Passport",44.0
"Redox",44.0
"Tomo",44.0
"Bustle Digital Group",43.0
"Elinvar",43.0
"Inscripta",43.0
"Postscript",43.0
"Shelf Engine",43.0
"TheSkimm",43.0
"WalkMe",43.0
"Mode Analytics",42.0
"Unstoppable Domains",42.0
"Bestow",41.0
"Embark",41.0
"Food52",41.0
"Peerspace",41.0
"Treehouse",41.0
"Absci",40.0
"Adwerx",40.0
"Astra",40.0
"BharatAgri",40.0
"BitSight",40.0
"Brave Care",40.0
"Clinc",40.0
"Cloudinary",40.0
"Community",40.0
"Daloopa",40.0
"Divvy Homes",40.0
"Eat Just",40.0
"Eden / Managed By Q",40.0
"Eruditus",40.0
"Etermax",40.0
"EVgo",40.0
"FreshDirect",40.0
"Grover",40.0
"Hodlnaut",40.0
"Ideoclick",40.0
"InDebted",40.0
"Innovid",40.0
"Intrinsic",40.0
"KiwiCo",40.0
"Koo",40.0
"Labster",40.0
"Lighter Capital",40.0
"Lightico",40.0
"Moglix",40.0
"Mux",40.0
"Navi",40.0
"Oh My Green",40.0
"Oye Rickshaw",40.0
"Parsable",40.0
"PartnerStack",40.0
"PaySense",40.0
"PharmEasy",40.0
"Relevel",40.0
"Shuttl",40.0
"Siteimprove",40.0
"Snowplow",40.0
"SpotHero",40.0
"Stack Overflow",40.0
"Stash Financial",40.0
"StreamElements",40.0
"StrongDM",40.0
"The Grommet",40.0
"TikTok India",40.0
"TrueLayer",40.0
"Vial",40.0
"Wistia",40.0
"Builder",39.0
"Jobcase",39.0
"Kiavi",39.0
"Articulate",38.0
"Freshbooks",38.0
"Immersive Labs",38.0
"M1",38.0
"Outbrain",38.0
"The Guild",38.0
"Capitolis",37.0
"Flockjay",37.0
"Springbig",37.0
"Ada Support",36.0
"Culture Amp",36.0
"Hireology",36.0
"Labelbox",36.0
"Plum",36.0
"Anodot",35.0
"Copper",35.0
"Dynamic Signal",35.0
"Frontdesk",35.0
"Jetty",35.0
"Kabam",35.0
"Linkfire",35.0
"Monese",35.0
"OpenX",35.0
"Ridecell",35.0
"Superpedestrian",35.0
"Sweetgreen",35.0
"WorkRamp",35.0
"D2iQ",34.0
"Lola",34.0
"TealBook",34.0
"Candy Digital",33.0
"Citizen",33.0
"Movidesk",33.0
"Studio",33.0
"Vee",33.0
"Advata",32.0
"AtoB",32.0
"Loftium",32.0
"Section4",32.0
"Stash",32.0
"Beam Benefits",31.0
"CaptivateIQ",31.0
"Clue",31.0
"Enjoei",31.0
"Maven",31.0
"REE Automotive",31.0
"Skedulo",31.0
"Skillshare",31.0
"Stashaway",31.0
"Uberflip",31.0
"Airtime",30.0
"BeeTech",30.0
"Betterfly",30.0
"Bevi",30.0
"Blume Global",30.0
"Booktopia",30.0
"Bright Machines",30.0
"Bullish",30.0
"Catalant",30.0
"Coinsquare",30.0
"Coterie Insurance",30.0
"CTO.ai",30.0
"CyCognito",30.0
"DataRails",30.0
"Edifecs",30.0
"Embroker",30.0
"Emotive",30.0
"EquityZen",30.0
"Ermetic",30.0
"Fireblocks",30.0
"FiscalNote",30.0
"Fittr",30.0
"Gather",30.0
"Getta",30.0
"Hunty",30.0
"Hydrow",30.0
"Impala",30.0
"Lawgeex",30.0
"Lev",30.0
"Lusha",30.0
"Nav",30.0
"Nestcoin",30.0
"OKCredit",30.0
"Overtime",30.0
"Pecan AI",30.0
"People.ai",30.0
"Permutive",30.0
"Personetics",30.0
"Sauce Labs",30.0
"Skai",30.0
"SQream",30.0
"Starship Technologies",30.0
"Submittable",30.0
"Superloop",30.0
"Synapsica",30.0
"Tanium",30.0
"TCR2",30.0
"Textio",30.0
"Thread",30.0
"Tomorrow",30.0
"Twine Solutions",30.0
"Veem",30.0
"Waze",30.0
"Worksmith",30.0
"Zencity",30.0
"Apartment List",29.0
"Chessable",29.0
"Lattice",29.0
"Matrixport",29.0
"Plato",29.0
"Shef",29.0
"Uncapped",29.0
"Vesalius Therapeutics",29.0
"Betterment",28.0
"Cadre",28.0
"Moovel",28.0
"Quanto",28.0
"SellerX",28.0
"Stint",28.0
"Tally",28.0
"Zum",28.0
"Demandbase",27.0
"LearnUpon",27.0
"Lithic",27.0
"PayJoy",27.0
"SafeGraph",27.0
"Sendle",27.0
"Transmit Security",27.0
"Vendease",27.0
"Artnight",26.0
"Briza",26.0
"Foxtrot",26.0
"Humu",26.0
"Integrate.ai",26.0
"Lucira Health",26.0
"Preply",26.0
"Wordstream",26.0
"Armis",25.0
"Brainly",25.0
"BVAccel",25.0
"Code42",25.0
"Eaze",25.0
"HighRadius",25.0
"IRL",25.0
"Kickstarter",25.0
"Loftsmart",25.0
"Loja Integrada",25.0
"ResearchGate",25.0
"UpScalio",25.0
"Vise",25.0
"Workable",25.0
"Cogito",24.0
"CrowdStreet",24.0
"Drop",24.0
"Exterro",24.0
"Flipboard",24.0
"Heroes",24.0
"Revelate",24.0
"Sourcegraph",24.0
"Stax",24.0
"SundaySky",24.0
"Thirty Madison",24.0
"TIFIN",24.0
"Transfix",24.0
"Truiloo",24.0
"Allbirds",23.0
"Antidote Health",23.0
"Aspire",23.0
"BusBud",23.0
"Dover",23.0
"Dukaan",23.0
"Genome Medical",23.0
"GoSpotCheck",23.0
"Kuda",23.0
"Legible",23.0
"Splice",23.0
"Stedi",23.0
"Superhuman",23.0
